Curso,Titulacion,Total,Mujeres,Hombres,Porcentaje_Mujeres,Porcentaje_Hombres
21-22,INGENIERÍA BIOMÉDICA,25,15,10,60.0,40.0
21-22,INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN,26,4,22,15.38,84.62
21-22,INGENIERÍA INFORMÁTICA,109,12,97,11.01,88.99
21-22,INGENIERÍA MULTIMEDIA,64,15,49,23.44,76.56
21-22,INGENIERÍA ROBÓTICA,48,9,39,18.75,81.25
22-23,INGENIERÍA BIOMÉDICA,35,12,23,34.29,65.71
22-23,INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN,25,7,18,28.0,72.0
22-23,INGENIERÍA INFORMÁTICA,133,11,122,8.27,91.73
22-23,INGENIERÍA MULTIMEDIA,83,20,63,24.1,75.9
22-23,INGENIERÍA ROBÓTICA,44,10,34,22.73,77.27
23-24,INGENIERÍA BIOMÉDICA,67,41,26,61.19,38.81
23-24,INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN,34,7,27,20.59,79.41
23-24,INGENIERÍA INFORMÁTICA,113,12,101,10.62,89.38
23-24,INGENIERÍA MULTIMEDIA,71,20,51,28.17,71.83
23-24,INGENIERÍA ROBÓTICA,31,8,23,25.81,74.19
24-25,INGENIERÍA BIOMÉDICA,56,36,20,64.29,35.71
24-25,INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN,27,8,19,29.63,70.37
24-25,INGENIERÍA INFORMÁTICA,121,19,102,15.7,84.3
24-25,INGENIERÍA MULTIMEDIA,59,11,48,18.64,81.36
24-25,INGENIERÍA ROBÓTICA,40,11,29,27.5,72.5
