Curso,Titulacion,Total,Mujeres,Hombres,Porcentaje_Mujeres,Porcentaje_Hombres
21-22,INGENIERÍA BIOMÉDICA,65,36,29,55.38,44.62
21-22,INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN,75,21,54,28.0,72.0
21-22,INGENIERÍA INFORMÁTICA,210,25,185,11.9,88.1
21-22,INGENIERÍA MULTIMEDIA,98,14,84,14.29,85.71
21-22,INGENIERÍA ROBÓTICA,67,11,56,16.42,83.58
22-23,INGENIERÍA BIOMÉDICA,71,36,35,50.7,49.3
22-23,INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN,78,23,55,29.49,70.51
22-23,INGENIERÍA INFORMÁTICA,213,27,186,12.68,87.32
22-23,INGENIERÍA MULTIMEDIA,104,23,81,22.12,77.88
22-23,INGENIERÍA ROBÓTICA,67,16,51,23.88,76.12
23-24,INGENIERÍA BIOMÉDICA,66,34,32,51.52,48.48
23-24,INGENIERÍA EN INTELIGENCIA ARTIFICIAL,65,16,49,24.62,75.38
23-24,INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN,71,14,57,19.72,80.28
23-24,INGENIERÍA INFORMÁTICA,218,36,182,16.51,83.49
23-24,INGENIERÍA MULTIMEDIA,105,29,76,27.62,72.38
23-24,INGENIERÍA ROBÓTICA,69,10,59,14.49,85.51
24-25,INGENIERÍA BIOMÉDICA,64,46,18,71.88,28.12
24-25,INGENIERÍA EN INTELIGENCIA ARTIFICIAL,63,14,49,22.22,77.78
24-25,INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN,71,16,55,22.54,77.46
24-25,INGENIERÍA INFORMÁTICA,218,37,181,16.97,83.03
24-25,INGENIERÍA MULTIMEDIA,104,33,71,31.73,68.27
24-25,INGENIERÍA ROBÓTICA,68,14,54,20.59,79.41
25-26,INGENIERÍA BIOMÉDICA,63,35,28,55.56,44.44
25-26,INGENIERÍA EN INTELIGENCIA ARTIFICIAL,64,3,61,4.69,95.31
25-26,INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN,61,15,46,24.59,75.41
25-26,INGENIERÍA INFORMÁTICA,225,43,182,19.11,80.89
25-26,INGENIERÍA MULTIMEDIA,102,24,78,23.53,76.47
25-26,INGENIERÍA ROBÓTICA,64,18,46,28.12,71.88
